Date,Share Code,Year High (GHS),Year Low (GHS),Previous Closing Price VWAP (GHS),Opening Price (GHS),Closing Price VWAP (GHS),Price Change (GHS),Closing Bid Price (GHS),Last Transaction Price (GHS),Total Shares Traded,Closing Offer Price (GHS),,,,,,,,,,,
2017-01-03,AYRTN,0.12,0.12,0.12,0.12,0.12,0,0.1,0.12,300,0.12,,,,,,,,,,,
2017-01-04,AYRTN,0.12,0.12,0.12,0.12,0.12,0,0.1,0.12,0,0.12,,,,,,,,,,,
2017-01-05,AYRTN,0.12,0.1,0.12,0.12,0.1,-0.02,0.1,0.1,10400,0.12,,,,,,,,,,,
2017-01-06,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-01-09,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,200,,,,,,,,,,,,
2017-01-10,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,600,,,,,,,,,,,,
2017-01-11,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-01-12,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-01-13,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-01-16,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,1200,,,,,,,,,,,,
2017-01-17,AYRTN,0.12,0.1,0.1,0.1,0.1,0,,0.1,0,,,,,,,,,,,,
2017-01-18,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-01-19,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-01-20,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-01-23,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,57300,,,,,,,,,,,,
2017-01-24,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-01-25,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-01-26,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.11,0.1,0,,,,,,,,,,,,
2017-01-27,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
