"account no","rate pa","rateable value","current amount",arrears,"rate impose","total paid","account balance","bill type","bill year ","bill date"
BB-AY00191,50,0,50,0,,0,50,b,2018,"2018-12-24 00:00:00"
BB-AY00190,50,0,50,0,,0,50,b,2018,"2018-12-24 00:00:00"
PR-AY00850,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00848,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
BB-AY00189,200,0,200,0,,0,200,b,2018,"2018-12-24 00:00:00"
PR-AY00846,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
BB-AY00188,200,0,200,0,,0,200,b,2018,"2018-12-24 00:00:00"
PR-AY00844,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
BB-AY00187,60,0,60,0,,0,60,b,2018,"2018-12-24 00:00:00"
PR-AY00842,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
BB-AY00185,60,0,60,0,,0,60,b,2018,"2018-12-24 00:00:00"
PR-AY00840,0,0,45,0,,0,45,p,2018,"2018-12-24 00:00:00"
BB-AY00184,200,0,200,0,,0,200,b,2018,"2018-12-24 00:00:00"
BB-AY00183,50,0,50,0,,0,50,b,2018,"2018-12-24 00:00:00"
BB-AY00182,100,0,100,0,,0,100,b,2018,"2018-12-24 00:00:00"
BB-AY00181,200,0,200,0,,0,200,b,2018,"2018-12-24 00:00:00"
PR-AY00838,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00836,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
BB-AY00180,60,0,60,0,,0,60,b,2018,"2018-12-24 00:00:00"
PR-AY00834,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00832,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00830,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
BB-AY00174,30,0,30,0,,0,30,b,2018,"2018-12-24 00:00:00"
BB-AY00173,500,0,500,0,,0,500,b,2018,"2018-12-24 00:00:00"
PR-AY00828,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00826,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00824,0,0,30,0,,0,30,p,2018,"2018-12-24 00:00:00"
PR-AY00822,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00820,0,0,45,0,,0,45,p,2018,"2018-12-24 00:00:00"
PR-AY00818,0,0,30,0,,0,30,p,2018,"2018-12-24 00:00:00"
